"","X.4","X","Year","Region","FedOk","Gini","R.P.10","Dec_coef","Infl_all","Coef_infl","Unfood_infl","Food_infl","Service_infl","Unempl","GRP","Avinc_mrot","Sh_city","Pre_sch","Av_sub_nom","Av_sub_real","GRP2","Av5_infl","Av4_infl","Av3_infl","Av2_infl","YAv_sub_nom","YAv_sub_real","TAv_sub_nom","TAv_sub_real","G_s","avGRP08","Sd_infl","Infl2","G1","G2","G3","G4","G5"
"191",191,470,2008,"Республика Карелия",2,0.363,10.9,NA,12.69956605,1.126995661,6.227520952,14.35658314,18.21119274,8.2,1.754658,NA,0.771,0.7766460622,348.82,307.9227528,3.078824696964,10.66804169,10.83634814,10.73764708,11.10082854,4185.84,3695.0730336,0.34882,0.3079227528,0.2807541183,2.7099577,0.645449886168984,161.278977858313,6.5,11.4,16.1,23,43
"192",192,471,2009,"Республика Карелия",2,0.363,10.9,NA,9.96623691,1.099662369,10.64329696,6.803549525,14.75854235,9.6,1.626493,NA,0.775,0.7643634211,434.44,352.4952519,2.645479479049,11.20651097,11.22490145,11.63120509,12.91569231,5213.28,4229.9430228,0.43444,0.3524952519,0.2960896994,2.7099577,0.935756898036143,99.3258781462463,6.5,11.4,16.1,23,43
"193",193,472,2010,"Республика Карелия",2,0.361,10.8,NA,9.8786498,1.098786498,4.498321535,14.79900433,9.206634842,9.3,1.866512,NA,0.777,0.759,584.78,436.1945779,3.483867046144,10.97202126,11.2126145,11.92385382,11.32451293,7017.36,5234.3349348,0.58478,0.4361945779,0.2920152407,2.7099577,0.454724428149132,97.58772187104,6.5,11.4,16.2,23,42.9
"194",194,473,2011,"Республика Карелия",2,0.358,10.6,NA,5.271488057,1.052714881,5.627343786,1.441482499,10.19012368,8.4,2.41688,4.051431871,0.781,0.765,697.71,490.5064312,5.8413089344,10.94453223,11.40901134,10.84045686,9.922434631,8372.52,5886.0771744,0.69771,0.4905064312,0.301,2.7099577,0.729758331382537,27.7885863350936,6.6,11.5,16.2,23,42.7
"195",195,474,2012,"Республика Карелия",2,0.371,11.6,NA,6.11086615,1.061108662,4.093638572,6.447515767,8.427041655,7,2.519814,4.349989156,0.784,0.764,820.9,541.5044423,6.349462594596,10.15352731,9.421186789,8.349724955,7.550401999,9850.8,6498.0533076,0.8209,0.5415044423,0.311,2.7099577,0.255325228330893,37.3426851032158,6.3,11.1,16,22.9,43.7
"196",196,475,2013,"Республика Карелия",2,0.367,11.3,NA,6.442370312,1.064423703,2.917314625,7.87635943,9.348636815,8.2,2.810216,4.129414025,0.788,0.773,910.48,564.2034203,7.897313966656,8.750962307,7.785620148,7.068399782,5.690343829,10925.76,6770.4410436,0.91048,0.5642034203,0.3094994995,2.7099577,0.417175522612087,41.504135236939,6.4,11.2,16,23,43.4
"197",197,476,2014,"Республика Карелия",2,0.335,10.3,NA,10.91551695,1.10915517,7.087491315,16.21826422,7.934349243,8.1,3.018181,4.130176449,0.792,0.776,929.96,517.4771829,9.109416548761,7.515620887,6.911548077,5.940427112,6.276488975,11159.52,6209.7261948,0.92996,0.5174771829,0.4499875331,2.7099577,0.809253303416743,119.148510285737,6.7,11.6,16.3,23,42.4
"198",198,477,2015,"Республика Карелия",2,0.339,9.3,NA,12.24927139,1.122492714,12.74770461,13.94238354,8.860931711,8.8,3.359445,4.31131601,0.796,0.7711,984.83,485.3587434,11.285870708025,7.700608261,7.162877486,7.800862296,8.655927259,11817.96,5824.3049208,0.98483,0.4853587434,0.4526919962,2.7099577,1.21408744879985,150.044649585873,7.1,12,16.6,23.1,41.2
"199",199,478,2016,"Республика Карелия",2,0.334,9,NA,4.341207833,1.043412078,5.313135632,3.928352932,3.463296227,9.2,3.682502,4.150064475,0.799,0.7677043984,1117.78,522.7809443,13.560820980004,8.161374947,8.896158302,9.840742121,11.58040134,13413.36,6273.3713316,1.11778,0.5227809443,0.4402198631,2.7099577,0.227855616165548,18.8460854493006,7.2,12.1,16.7,23.1,40.9
"200",200,479,2017,"Республика Карелия",2,0.335,9,4.8,2.788884233,1.027888842,2.877051327,1.517454342,4.553005587,8.6,4.044876,3.565333333,0.802,0.7658231965,1183.11,539.7180785,16.361021855376,7.96953201,8.439263381,9.113184933,8.223031538,14197.32,6476.616942,1.18311,0.5397180785,0.4548597464,2.7099577,0.334283494276121,7.777875265076,7.2,12.1,16.7,23.1,40.9
"201",201,494,2008,"Республика Коми",2,0.431,17.8,NA,13.75512543,1.137551254,7.481730534,18.4842785,13.41054349,7.1,3.142516,NA,0.761,0.8170819301,502.14,443.2668169,9.875406810256,11.77609711,11.02443691,11.0143646,11.10754924,6025.68,5319.2018028,0.50214,0.4432668169,0.3130298326,5.1061683,0.464335696332826,189.203475595033,4.9,9.5,14.6,22.4,48.6
"202",202,495,2009,"Республика Коми",2,0.424,17,NA,8.602610664,1.086026107,8.353018516,6.923028606,11.74055647,11.4,3.299674,NA,0.763,0.8116994899,686.41,556.9382788,10.887848506276,11.56527957,11.69330106,11.9831561,13.00874583,8236.92,6683.2593456,0.68641,0.5569382788,0.3275628732,5.1061683,0.812109735332745,74.0049102363665,5.1,9.7,14.7,22.5,48
"203",203,496,2010,"Республика Коми",2,0.423,16.9,NA,8.100335177,1.081003352,5.436002163,11.45933653,6.491529564,10.1,3.907404,NA,0.766,0.825,682.37,508.9881564,15.267806019216,11.06820529,11.12828033,11.52052155,11.14901528,8188.44,6107.8578768,0.68237,0.5089881564,0.3113997373,5.1061683,0.309511263481999,65.6154299797436,5.1,9.7,14.8,22.5,47.9
"204",204,497,2011,"Республика Коми",2,0.42,16.5,NA,6.320242569,1.063202426,6.445668842,6.445038522,5.963399996,8.2,4.873635,5.525381062,0.77,0.83,814.92,572.9077996,23.752318113225,10.51598103,10.65546156,10.12335307,8.351181876,9779.04,6874.8935952,0.81492,0.5729077996,0.307,5.1061683,0.515062024312498,39.9454661309997,5.2,9.8,14.8,22.5,47.7
"205",205,498,2012,"Республика Коми",2,0.424,17,NA,5.952476699,1.059524767,4.383736693,6.532485835,7.18435849,6.4,5.411553,5.864237692,0.772,0.843,810.2,534.4462165,29.284905871809,9.774501847,9.160008182,7.669927723,7.206594283,9722.4,6413.354598,0.8102,0.5344462165,0.302,5.1061683,0.259047400209992,35.4319788521379,5.1,9.7,14.7,22.5,48
"206",206,499,2013,"Республика Коми",2,0.421,16.6,NA,6.584393092,1.065843931,4.22752399,7.394232064,8.422463929,7.1,5.503862,5.635926993,0.773,0.844,896.22,555.3668278,30.292496915044,8.510826211,7.237972505,6.786914318,6.136200344,10754.64,6664.4019336,0.89622,0.5553668278,0.3014723066,5.1061683,0.326070885272242,43.3542323899773,5.1,9.8,14.8,22.5,47.8
"207",207,500,2014,"Республика Коми",2,0.382,14.9,NA,10.91826182,1.109182618,9.627100277,15.35404227,5.720609121,6,5.576413,5.553474973,0.775,0.853,940.17,523.1585477,31.096381946569,7.106936785,6.736247964,6.285388126,6.26796519,11282.04,6277.9025724,0.94017,0.5231585477,0.4335384736,5.1061683,0.649173717237163,119.20844117007,5.4,10.2,15.2,22.7,46.5
"208",208,501,2015,"Республика Коми",2,0.402,14.8,NA,13.19122696,1.13191227,15.53281321,13.8788042,8.816614605,7,6.13975,5.455993294,0.777,0.8587,989.15,487.4877908,37.6965300625,7.559842307,7.425141871,7.795987397,8.72973659,11869.8,5849.8534896,0.98915,0.4874877908,0.4209540345,5.1061683,1.25881979358734,174.008468710231,5.6,10.3,15.3,22.7,46.1
